,x
133,13.35767054153204
134,13.225416377754495
135,13.094471661143062
136,12.96482342687432
137,12.836458838489426
138,12.709365186623197
139,12.583529887745737
140,12.458940482916573
141,12.335584636551062
142,12.213450135199073
143,12.092524886335715
144,11.972796917164079
145,11.854254373429777
146,11.736885518247304
147,11.620678730937923
148,11.505622505879133
149,11.391705451365478
150,11.278916288480673
151,11.167243849980864
152,11.056677079188972
153,10.94720502889997
154,10.838816860297005
155,10.731501841878222
156,10.62524934839428
157,10.520048859796317
158,10.41588996019437
159,10.312762336826111
160,10.210655779035754
161,10.109560177263123
162,10.009465522042698
163,9.910361903012573
164,9.812239507933237
165,9.715088621716077
166,9.618899625461466
167,9.5236629955064
168,9.429369302481582
169,9.336009210377803
170,9.243573475621588
171,9.152052946159987
172,9.061438560554443
173,8.971721347083609
174,8.882892422855058
175,8.794942992925797
176,8.707864349431482
177,8.621647870724242
178,8.536285020519049
179,8.451767347048566
180,8.368086482226303
181,8.28523414081812
182,8.203202119621903
183,8.121982296655345
184,8.04156663035183
185,7.961947158764187
186,7.8831159987764226
187,7.805065345323192
188,7.727787470617022
189,7.651274723383192
190,7.575519528102168
191,7.500514384259572
192,7.426251865603538
193,7.352724619409443
194,7.279925365751923
195,7.207846896784083
196,7.136482076023844
197,7.06582383764737
198,6.9958651857894765
199,6.926599193850967
200,6.8580190038128395
201,6.7901178255572665
202,6.722888936195313
203,6.6563256794013
204,6.590421464753763
205,6.525169767082932
206,6.460564125824686
207,6.396598144380878
208,6.333265489486018
209,6.270559890580216
210,6.208475139188331
211,6.14700508830528
212,6.086143651787406
213,6.025884803749907
214,5.966222577970205
215,5.907151067297232
216,5.848664423066568
217,5.790756854521353
218,5.733422628238964
219,5.6766560675633295
220,5.6204515520429
221,5.564803516874159
222,5.5097064523506525
223,5.455154903317478
224,5.401143468631167
225,5.347666800624918
226,5.294719604579126
227,5.242296638197153
228,5.190392711086291
229,5.139002684243852
230,5.088121469548369
231,5.037744029255811
232,4.987865375500803
233,4.938480569802777
234,4.889584722577005
235,4.8411729926505
236,4.793240586782673
237,4.7457827591907655
238,4.698794811079964
239,4.652272090178183
240,4.606209990275429
241,4.560603950767751
242,4.515449456205695
243,4.470742035847223
244,4.426477263215071
245,4.382650755658487
246,4.339258173919294
247,4.296295221702272
248,4.253757645249774
249,4.211641232920568
250,4.169941814772839
251,4.1286552621513275
252,4.08777748727854
253,4.04730444285004
254,4.007232121633703
255,3.9675565560729726
256,3.928273817894032
257,3.889380017716864
258,3.8508713046701626
259,3.812743866010063
260,3.774993926742636
261,3.7376177492501346
262,3.700611632920925
263,3.663971913783095
264,3.6276949641416776
265,3.591777192219482
266,3.556215041801467
267,3.521004991882642
268,3.486143556319447
269,3.451627283484601
270,3.417452755925348
271,3.383616590025097
272,3.3501154356684126
273,3.316945975909319
274,3.2841049266428906
275,3.25158903628009
276,3.219395085425832
277,3.187519886560229
278,3.1559602837229987
279,3.1247131522009894
280,3.093775398218801
281,3.0631439586324767
282,3.0328158006262145
283,3.0027879214120934
284,2.973057347932765
285,2.9436211365670952
286,2.9144763728387075
287,2.8856201711274334
288,2.8570496743835974
289,2.8287620538451455
290,2.8007545087575703
291,2.773024266096604
292,2.745568580293668
293,2.7183847329640285
294,2.6914700326376506
295,2.664821814492724
296,2.6384374400918054
297,2.6123142971206
298,2.586449799129306
299,2.560841385276541
300,2.535486520075783
301,2.5103826931443396
302,2.485527418954792
303,2.460918236588902
304,2.4365527094939625
305,2.412428425241547
306,2.3885429952886605
307,2.3648940547412485
308,2.341479262120048
309,2.31829629912876
310,2.295342870424515
311,2.2726167033906086
312,2.250115547911494
313,2.2278371761499938
314,2.2057793823267264
315,2.1839399825017094
316,2.162316814358128
317,2.1409077369882454
318,2.119710630681431
319,2.0987233967142886
320,2.0779439571428604
321,2.057370254596891
322,2.0370002520761297
323,2.0168319327486435
324,1.996863299751132
325,1.9770923759912196
326,1.9575172039517024
327,1.9381358454967357
328,1.918946381679936
329,1.899946912554392
330,1.8811355569845465
331,1.8625104524599472
332,1.844069754910839
333,1.8258116385255827
334,1.807734295569884
335,1.7898359362078053
336,1.7721147883245605
337,1.75456909735105
338,1.737197126090148
339,1.7199971545447013
340,1.7029674797472285
341,1.6861064155913155
342,1.6694122926646693
343,1.6528834580838307
344,1.6365182753305254
345,1.6203151240896292
346,1.6042724000887418
347,1.588388514939348
348,1.5726618959795529
349,1.5570909861183688
350,1.5416742436815534
351,1.5264101422589633
352,1.5112971705534295
353,1.496333832231118
354,1.4815186457733842
355,1.4668501443300836
356,1.4523268755743406
357,1.437947401558753
358,1.4237102985730223
359,1.4096141570029928
360,1.3956575811910819
361,1.381839189298101
362,1.3681576131664364
363,1.3546114981845905
364,1.34119950315306
365,1.3279203001515445
366,1.3147725744074699
367,1.3017550241658118
368,1.2888663605602095
369,1.276105307485356
370,1.2634706014706496
371,1.2509609915550988
372,1.238575239163464
373,1.2263121179836278
374,1.2141704138451759
375,1.2021489245991843
376,1.1902464599991924
377,1.1784618415833588
378,1.166793902557781
379,1.1552414876809711
380,1.1438034531494763
381,1.1324786664846302
382,1.1212660064204258
383,1.1101643627925013
384,1.0991726364282188
385,1.0882897390378403
386,1.0775145931067727
387,1.0668461317888833
388,1.056283298800875
